Country;adjusted_satisfaction (0-100);avg_satisfaction (0-10);std_satisfaction;avg_income (&);median_income (&);income_inequality;Region;Happy Score (0-10);GDP;country.1
Armenia;37;4,9;2,42;2096,76;1731,506667;31,44555556;'Central and Eastern Europe';4,35;0,76821;Armenia
Angola;26;4,3;3,19;1448,88;1044,24;42,72;'Sub-Saharan Africa';4,033;0,75778;Angola
Argentina;60;7,1;1,91;7101,12;5109,4;45,47555556;'Latin America and Caribbean';6,574;1,05351;Argentina
Austria;59;7,2;2,11;19457,04;16879,62;30,29625;'Western Europe';7,2;1,33723;Austria
Australia;65;7,6;1,8;19917;15846,06;35,285;'Australia and New Zealand';7,284;1,33358;Australia
Azerbaijan;46;5,8;2,27;3381,6;2931,48;24,215;'Central and Eastern Europe';5,212;1,02389;Azerbaijan
Bangladesh;43;5,3;2,1;1265,34;994,14;32,665;'Southern Asia';4,694;0,39753;Bangladesh
Belgium;63;7,2;1,72;17168,505;15166,455;28,745;'Western Europe';6,937;1,30782;Belgium
Burkina Faso;37;4,4;2,02;870,84;630,24;39,76;'Sub-Saharan Africa';3,587;0,25812;Burkina Faso
Bulgaria;34;4,6;2,57;5354,82;4523,565;34,1625;'Central and Eastern Europe';4,218;1,01216;Bulgaria
Burundi;25;2,9;1,96;572,88;436,92;33,36;'Sub-Saharan Africa';2,905;0,0153;Burundi
Benin;20;3;2,7;989,04;657;43,44;'Sub-Saharan Africa';3,34;0,28665;Benin
Bolivia;53;6,3;1,9;3985,71;2584,47;51,61;'Latin America and Caribbean';5,89;0,68133;Bolivia
Brazil;56;6,9;2,19;5567,235;3294,18;54,33375;'Latin America and Caribbean';6,983;0,98124;Brazil
Botswana;36;4,7;2,42;3484,68;1632,6;60,46;'Sub-Saharan Africa';4,332;0,99355;Botswana
Belarus;47;5,5;1,99;5453,933333;4814,453333;27,75444444;'Central and Eastern Europe';5,813;1,03192;Belarus
Canada;69;8;1,71;20190,78;16829,1;33,79;'North America';7,427;1,32629;Canada
Switzerland;70;8;1,62;23400,04;19442,92;32,93;'Western Europe';7,587;1,39651;Switzerland
Chile;55;6,8;2,13;7557,99;4448,01;51,27;'Latin America and Caribbean';6,67;1,10715;Chile
Cameroon;36;3,9;1,69;1490,52;1030,08;42,82;'Sub-Saharan Africa';4,252;0,4225;Cameroon
China;48;6,2;2,43;2673,642857;2108,13;37,57928571;'Eastern Asia';5,14;0,89012;China
Colombia;65;7,9;2,09;4618,062857;2618,674286;54,81571429;'Latin America and Caribbean';6,477;0,91861;Colombia
Costa Rica;73;8,5;1,71;6901,466667;4373,52;49,01888889;'Latin America and Caribbean';7,226;0,95578;Costa Rica
